,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
98,Odisha,Jeypore,FMCG-JEYPORE - ER,"Jeypore, Odisha",18.8581426,82.57098649999999
99,Odisha,Balugaon,FMCG-BALUGAON - ER,"Balugaon, Odisha",20.1783322,85.1129236
100,Odisha,Gunupur,FMCG-GUNUPUR - ER,"Gunupur, Odisha",19.0754648,83.8128265
101,Odisha,Kendrapara,FMCG-KENDRAPARA - ER,"Kendrapara, Odisha",20.5035205,86.4198804
102,Odisha,Baleshwar,FMCG-BALESHWAR - ER,"Baleshwar, Odisha",21.4933578,86.9134794
103,Odisha,Nayagarh,FMCG-NAYAGARH - ER,"Nayagarh, Odisha",20.1231332,85.1038426
104,Odisha,Baripada,FMCG-BARIPADA - ER,"Baripada, Odisha",21.9319838,86.7465928
105,Odisha,Bhanjanagar,FMCG-BHANJANAGAR - ER,"Bhanjanagar, Odisha",19.9358071,84.582481
106,Karnataka,Haveri,FMCG-HAVERI - ER,"Haveri, Karnataka",14.7950698,75.39906739999999
107,Karnataka,Sira,FMCG-SIRA - ER,"Sira, Karnataka",13.7451493,76.89796620000001
108,Karnataka,Hassan,FMCG-HASSAN - ER,"Hassan, Karnataka",13.0033234,76.1003894
109,Karnataka,Sagar (KR),FMCG-SAGARA - ER,"Sagar (KR), Karnataka",14.1670402,75.0403
110,Jharkhand,Bagbera,FMCG-BAGBERA COLONY - ER,"Bagbera, Jharkhand",22.759344,86.19043239999999
111,Jharkhand,Hazaribagh,FMCG-HAZARIBAGH - ER,"Hazaribagh, Jharkhand",23.9924669,85.3636758
112,Jharkhand,Lohardagga,FMCG-LOHARDAGA - ER,"Lohardagga, Jharkhand",23.4409325,84.6845216
113,Jharkhand,Medininagar,FMCG-MEDININAGAR - ER,"Medininagar, Jharkhand",24.0465121,84.07684619999999
114,Jharkhand,Ranchi,FMCG-RANCHI - ER,"Ranchi, Jharkhand",23.3440997,85.309562
115,Jharkhand,Khunti,FMCG-KHUNTI - ER,"Khunti, Jharkhand",23.0797595,85.2774207
116,Jharkhand,Chatra,FMCG-CHATRA - ER,"Chatra, Jharkhand",24.2065446,84.871802
117,Jharkhand,Ramgarh,FMCG-RAMGARH - ER,"Ramgarh, Jharkhand",23.6362593,85.5124209
118,Bihar,Hilsa,FMCG-HILSA - ER,"Hilsa, Bihar",25.3188918,85.28323329999999
119,Bihar,Bihta,FMCG-BIHTA - ER,"Bihta, Bihar",25.5535839,84.8692677
120,Bihar,Hajipur,FMCG-HAJIPUR - ER,"Hajipur, Bihar",25.6924354,85.20832399999999
121,Bihar,Arrah,FMCG-ARRAH - ER,"Arrah, Bihar",25.5541358,84.6664797
122,Bihar,Sasaram,FMCG-SASARAM - ER,"Sasaram, Bihar",24.9538803,84.01428659999999
123,Bihar,Gaya,FMCG-GAYA - ER,"Gaya, Bihar",24.7913957,85.0002336
124,Bihar,Bhabhua,FMCG-BHABUA - ER,"Bhabhua, Bihar",25.0426227,83.6055732
125,Bihar,Chapra,FMCG-CHAPRA - ER,"Chapra, Bihar",25.7811397,84.7543413
126,Uttar Pradesh,Aligarh,FMCG-ALIGARH - ER,"Aligarh, Uttar Pradesh",27.8973944,78.0880129
127,Uttar Pradesh,Haridwar,FMCG-HARIDWAR - ER,"Haridwar, Uttar Pradesh",29.9456906,78.16424780000001
128,Uttar Pradesh,Bijnor,FMCG-BIJNOR - ER,"Bijnor, Uttar Pradesh",29.3731673,78.1350904
129,Uttar Pradesh,Muzaffarnagar,FMCG-MUZAFFARNAGAR - ER,"Muzaffarnagar, Uttar Pradesh",29.4726817,77.7085091
130,Uttar Pradesh,Moradabad,FMCG-MORADABAD - ER,"Moradabad, Uttar Pradesh",28.8386481,78.7733286
131,Uttar Pradesh,Etah,FMCG-ETAH - ER,"Etah, Uttar Pradesh",27.5625106,78.6654148
132,Uttar Pradesh,Agra,FMCG-AGRA - ER,"Agra, Uttar Pradesh",27.1766701,78.00807449999999
133,Uttar Pradesh,Shahjahanpur,FMCG-SHAHJAHANPUR - ER,"Shahjahanpur, Uttar Pradesh",27.8753399,79.9147268
134,Uttar Pradesh,Firozabad,MD-FMCG-FIROZABAD - AJA,"Firozabad, Uttar Pradesh",27.1591961,78.3957331
135,Haryana,Jind,FMCG-JIND - ER,"Jind, Haryana",29.325508,76.29979089999999
136,Haryana,Bhiwani,FMCG-HARYANA-BHIWANI - ER,"Bhiwani, Haryana",28.7974684,76.1322058
137,Rajasthan,Kishangarh Renwal,FMCG-KISHANGARH RENWAL - ER,"Kishangarh Renwal, Rajasthan",27.1622986,75.35787789999999
138,Rajasthan,Borawar,FMCG-BORAWAR - ER,"Borawar, Rajasthan",27.0266498,74.6836958
139,Rajasthan,Shrimadhopur,FMCG-SHRIMADHOPUR - ER,"Shrimadhopur, Rajasthan",27.4727934,75.59687149999999
140,Rajasthan,Shahpura,FMCG-SHAHPURA - ER,"Shahpura, Rajasthan",27.3842893,75.9611437
141,Rajasthan,Todabhim,FMCG-TODABHIM - ER,"Todabhim, Rajasthan",26.9166942,76.8158718
142,Rajasthan,Kekri,FMCG-KEKRI - ER,"Kekri, Rajasthan",25.9748064,75.1529425
143,Rajasthan,Mandawa,FMCG-MANDAWA - ER,"Mandawa, Rajasthan",28.050017,75.14870069999999
144,Rajasthan,Ajmer,FMCG-AJMER - ER,"Ajmer, Rajasthan",26.4498954,74.6399163
145,Rajasthan,Dausa,FMCG-DAUSA - ER,"Dausa, Rajasthan",26.8996953,76.332411
146,Rajasthan,Behror,FMCG-BEHROR - ER,"Behror, Rajasthan",27.8946773,76.2820297
